stock,sector,sub_sector,market_cap_log,beta
STT,Financial Services,Asset Management,24.291477342842555,1.448
STX,Technology,Computer Hardware,25.099959415321894,1.619
SW,Consumer Cyclical,Packaging & Containers,23.863164424938752,0.988
STZ,Consumer Defensive,Beverages - Brewers,24.052713526581464,0.444
SWK,Industrials,Tools & Accessories,23.261858977009524,1.202
SWKS,Technology,Semiconductors,22.914007149935685,1.297
SYF,Financial Services,Credit Services,24.068117331802632,1.425
SYK,Healthcare,Medical Devices,25.6356210373107,0.896
SYY,Consumer Defensive,Food Distribution,24.316074174136794,0.618
T,Communication Services,Telecom Services,25.84721984449043,0.6
TAP,Consumer Defensive,Beverages - Brewers,22.999046705786807,0.451
TDG,Industrials,Aerospace & Defense,25.111108027645614,0.917
TEL,Technology,Electronic Components,24.924287280676516,1.242
TECH,Healthcare,Biotechnology,23.07895595303598,1.469
TDY,Technology,Scientific & Technical Instruments,24.075734994280822,1.027
TER,Technology,Semiconductor Equipment & Materials,24.335722425977504,1.835
TFC,Financial Services,Banks - Regional,24.88165996878877,0.874
TKO,Communication Services,Entertainment,23.532091193632812,0.225
TGT,Consumer Defensive,Discount Stores,24.581805829017156,1.124
TJX,Consumer Cyclical,Apparel Retail,25.841937923522753,0.752
TMO,Healthcare,Diagnostics & Research,26.188978790552877,0.91
TMUS,Communication Services,Telecom Services,26.081473652662673,0.44
TPL,Energy,Oil & Gas E&P,23.88891969104169,0.935
TRGP,Energy,Oil & Gas Midstream,24.43445923451761,0.874
TPR,Consumer Cyclical,Luxury Goods,23.99181291154271,1.643
TRMB,Technology,Scientific & Technical Instruments,23.553986522084543,1.589
TRV,Financial Services,Insurance - Property & Casualty,24.85868447480965,0.531
TSCO,Consumer Cyclical,Specialty Retail,24.104453050033186,0.737
TROW,Financial Services,Asset Management,23.86740655141388,1.532
TSLA,Consumer Cyclical,Auto Manufacturers,28.010983553663177,1.835
TSN,Consumer Defensive,Farm Products,23.829234843502814,0.467
TTD,Communication Services,Advertising Agencies,23.542172488948566,1.105
TT,Industrials,Building Products & Equipment,25.189214238008038,1.216
TTWO,Communication Services,Electronic Gaming & Multimedia,24.541504613490698,0.925
TXT,Industrials,Aerospace & Defense,23.547258234681525,1.001
TXN,Technology,Semiconductors,25.90228728256404,0.988
TYL,Technology,Software - Application,23.66636876272772,0.916
UBER,Technology,Software - Application,25.876352939045717,1.203
UHS,Healthcare,Medical Care Facilities,23.290717277585518,1.284
UDR,Real Estate,REIT - Residential,23.357182294896162,0.712
UAL,Industrials,Airlines,24.27121356395374,1.318
ULTA,Consumer Cyclical,Specialty Retail,24.121799355807827,0.853
URI,Industrials,Rental & Leasing Services,24.801053044912727,1.69
UPS,Industrials,Integrated Freight & Logistics,25.23535937382241,1.097
UNP,Industrials,Railroads,25.639338138776196,0.997
UNH,Healthcare,Healthcare Plans,26.481240035976793,0.425
USB,Financial Services,Banks - Regional,25.18103430463898,1.09
V,Financial Services,Credit Services,27.16732318627984,0.815
VICI,Real Estate,REIT - Diversified,24.139190664224007,0.72
VLO,Energy,Oil & Gas Refining & Marketing,24.76331392353257,0.767
VLTO,Industrials,Pollution & Treatment Controls,23.94466388760721,1.109
VMC,Basic Materials,Building Materials,24.399513136289958,1.064
VRSK,Industrials,Consulting Services,24.139816470332907,0.809
VRSN,Technology,Software - Infrastructure,23.877667905897063,0.77
VRTX,Healthcare,Biotechnology,25.528334229150925,0.314
VST,Utilities,Utilities - Independent Power Producers,24.722865860319175,1.418
VZ,Communication Services,Telecom Services,25.840956441148705,0.327
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,23.443706668155986,0.792
VTR,Real Estate,REIT - Healthcare Facilities,24.30208536645731,0.8
WAB,Industrials,Railroads,24.396024234299063,1.004
WAT,Healthcare,Diagnostics & Research,23.875499426103094,1.164
WDAY,Technology,Software - Application,24.659473099588862,1.142
WBD,Communication Services,Entertainment,24.97258779271665,1.572
WDC,Technology,Computer Hardware,25.157284939129344,1.845
WEC,Utilities,Utilities - Regulated Electric,24.297078026756353,0.573
WELL,Real Estate,REIT - Healthcare Facilities,25.556407077226904,0.857
WM,Industrials,Waste Management,25.245434490626742,0.594
WFC,Financial Services,Banks - Diversified,26.342258639343754,1.088
WMB,Energy,Oil & Gas Midstream,25.086830354718444,0.658
WMT,Consumer Defensive,Discount Stores,27.570670372508,0.661
WRB,Financial Services,Insurance - Property & Casualty,23.959982319274694,0.388
WSM,Consumer Cyclical,Specialty Retail,23.91746661681393,1.582
WTW,Financial Services,Insurance Brokers,24.169831902915835,0.635
WY,Real Estate,REIT - Specialty,23.68133442991853,1.05
WST,Healthcare,Medical Instruments & Supplies,23.562084149659675,1.167
XEL,Utilities,Utilities - Regulated Electric,24.522636950097077,0.469
WYNN,Consumer Cyclical,Resorts & Casinos,23.200425177685737,1.078
XYL,Industrials,Specialty Industrial Machinery,24.267805348977255,1.172
XOM,Energy,Oil & Gas Integrated,27.075938627446387,0.365
XYZ,Technology,Software - Infrastructure,24.42353252333346,2.665
YUM,Consumer Cyclical,Restaurants,24.463622207628312,0.669
ZBH,Healthcare,Medical Devices,23.565936168982443,0.614
ZBRA,Technology,Communication Equipment,23.235688702049515,1.683
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,24.729009600881437,0.97
